                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    115,                 2.0128,                 1.3103,                 1.3619,                0.83466,                 0.6099,                0.72118,                0.41078,                 1.9246,                 1.0868,                 1.2911,               0.006238,               0.006238,               0.006238
                    116,                 2.0168,                  1.317,                 1.3589,                0.83222,                0.61004,                0.72142,                0.41066,                 1.9244,                 1.0858,                  1.291,               0.006205,               0.006205,               0.006205
                    117,                 2.0225,                  1.313,                  1.362,                0.83301,                0.60935,                0.72268,                 0.4111,                 1.9237,                 1.0837,                 1.2906,               0.006172,               0.006172,               0.006172
                    118,                 2.0185,                  1.306,                 1.3617,                0.83588,                0.60913,                0.72336,                0.41106,                 1.9226,                  1.083,                 1.2897,               0.006139,               0.006139,               0.006139
                    119,                  2.029,                 1.3109,                 1.3623,                0.83603,                 0.6093,                0.72386,                0.41153,                 1.9218,                  1.082,                 1.2889,               0.006106,               0.006106,               0.006106
                    120,                 2.0228,                 1.3133,                  1.362,                 0.8349,                0.60998,                0.72452,                 0.4119,                 1.9199,                 1.0812,                 1.2878,               0.006073,               0.006073,               0.006073
                    121,                 2.0146,                 1.3099,                 1.3619,                0.83663,                0.60904,                0.72453,                0.41258,                 1.9193,                 1.0808,                 1.2873,                0.00604,                0.00604,                0.00604
                    122,                 2.0223,                 1.3118,                  1.363,                0.83698,                0.60957,                0.72513,                0.41248,                 1.9185,                 1.0803,                 1.2867,               0.006007,               0.006007,               0.006007
                    123,                 2.0153,                 1.3092,                 1.3575,                0.83699,                0.60855,                0.72487,                0.41258,                 1.9168,                 1.0794,                 1.2857,               0.005974,               0.005974,               0.005974
                    124,                 2.0103,                 1.2979,                 1.3524,                0.83773,                0.61057,                0.72621,                0.41289,                 1.9147,                 1.0774,                 1.2849,               0.005941,               0.005941,               0.005941
                    125,                 2.0059,                 1.2988,                 1.3584,                0.83525,                0.61225,                 0.7266,                0.41392,                  1.914,                 1.0752,                 1.2846,               0.005908,               0.005908,               0.005908
                    126,                 2.0023,                 1.3099,                 1.3593,                0.83498,                0.61271,                0.72731,                0.41398,                 1.9121,                 1.0733,                 1.2837,               0.005875,               0.005875,               0.005875
                    127,                 2.0072,                 1.2997,                 1.3591,                0.83649,                0.61162,                0.72777,                 0.4146,                  1.911,                 1.0711,                 1.2832,               0.005842,               0.005842,               0.005842
                    128,                 2.0015,                 1.2982,                  1.356,                0.83276,                0.61416,                0.72772,                0.41476,                 1.9105,                 1.0701,                 1.2828,               0.005809,               0.005809,               0.005809
                    129,                 2.0063,                 1.2863,                 1.3487,                0.83465,                0.61257,                0.72747,                0.41488,                 1.9094,                 1.0683,                 1.2819,               0.005776,               0.005776,               0.005776
                    130,                 2.0004,                 1.2977,                 1.3547,                0.83547,                0.61376,                 0.7286,                0.41519,                 1.9088,                 1.0672,                 1.2816,               0.005743,               0.005743,               0.005743
                    131,                 1.9791,                 1.2787,                 1.3438,                0.83476,                0.61423,                0.72821,                0.41564,                  1.908,                 1.0662,                 1.2813,                0.00571,                0.00571,                0.00571
                    132,                 1.9957,                 1.2844,                 1.3511,                0.83294,                0.61499,                0.72863,                0.41623,                 1.9069,                 1.0652,                 1.2809,               0.005677,               0.005677,               0.005677
                    133,                 1.9995,                 1.2869,                 1.3501,                0.83008,                0.61729,                0.72871,                0.41628,                 1.9061,                 1.0649,                 1.2802,               0.005644,               0.005644,               0.005644
                    134,                 2.0032,                 1.2974,                 1.3516,                0.83029,                0.61845,                0.72919,                0.41638,                 1.9058,                 1.0653,                 1.2799,               0.005611,               0.005611,               0.005611
                    135,                 1.9998,                 1.3045,                 1.3497,                0.83072,                0.61738,                0.72865,                0.41631,                 1.9051,                 1.0645,                 1.2795,               0.005578,               0.005578,               0.005578
                    136,                 1.9888,                 1.2797,                 1.3464,                0.83267,                0.61792,                 0.7291,                0.41672,                  1.904,                 1.0625,                 1.2793,               0.005545,               0.005545,               0.005545
                    137,                 1.9873,                 1.2841,                 1.3528,                0.83096,                0.61984,                0.72985,                0.41673,                 1.9036,                 1.0615,                 1.2787,               0.005512,               0.005512,               0.005512
                    138,                 1.9733,                 1.2783,                 1.3418,                0.82952,                 0.6211,                0.72986,                0.41741,                 1.9028,                 1.0608,                 1.2782,               0.005479,               0.005479,               0.005479
                    139,                 1.9796,                 1.2675,                 1.3353,                0.82852,                0.62237,                0.73045,                0.41756,                 1.9024,                 1.0598,                 1.2783,               0.005446,               0.005446,               0.005446
                    140,                 1.9751,                 1.2801,                 1.3422,                0.82506,                0.62437,                0.73067,                0.41809,                 1.9014,                 1.0589,                 1.2777,               0.005413,               0.005413,               0.005413
                    141,                 1.9842,                 1.2829,                 1.3443,                0.82551,                0.62421,                 0.7309,                0.41831,                 1.9013,                  1.058,                 1.2777,                0.00538,                0.00538,                0.00538
                    142,                 1.9744,                 1.2751,                 1.3404,                0.82566,                0.62509,                 0.7313,                0.41824,                 1.9004,                 1.0572,                 1.2772,               0.005347,               0.005347,               0.005347
                    143,                 1.9812,                 1.2802,                   1.34,                0.82463,                0.62593,                0.73139,                0.41854,                 1.8996,                 1.0563,                 1.2772,               0.005314,               0.005314,               0.005314
                    144,                 1.9827,                 1.2707,                 1.3412,                0.82454,                0.62458,                0.73088,                0.41816,                 1.8996,                 1.0568,                 1.2768,               0.005281,               0.005281,               0.005281
                    145,                 1.9601,                 1.2553,                 1.3283,                0.82589,                0.62442,                0.73126,                0.41833,                 1.8987,                 1.0563,                 1.2763,               0.005248,               0.005248,               0.005248
                    146,                 1.9736,                 1.2647,                 1.3346,                0.82553,                0.62483,                0.73134,                0.41843,                  1.899,                 1.0556,                 1.2761,               0.005215,               0.005215,               0.005215
